accession,pairs,gene,protein,seq_len,class,is_ion_channel
P01213,1,PDYN,Proenkephalin-B (Beta-neoendorphin-dynorphin) (Preprodynorphin) [Cleaved into: Alpha-neoendorphin; Beta-neoendorphin; Big dynorphin (Big Dyn); Dynorphin A(1-17) (Dyn-A17) (Dynorphin A); Dynorphin A(1-13); Dynorphin A(1-8); Leu-enkephalin; Rimorphin (Dynorphin B) (Dyn-B) (Dynorphin B(1-13)); Leumorphin (Dynorphin B-29)],254,other,False
P51692,1,STAT5B,Signal transducer and activator of transcription 5B,787,other,False
P00523,1,SRC,Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),533,kinase,False
P09429,1,HMGB1,High mobility group protein B1 (High mobility group protein 1) (HMG-1),215,other,False
P05089,1,ARG1,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),322,other,False
P17752,1,TPH1,Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1),444,other,False
P24046,1,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABAAR subunit rho-1) (GABA(C) receptor),479,ion_channel,True
P23921,1,RRM1,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),792,other,False
P23574,1,Gabrg1,Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1) (GABAAR subunit gamma-1),465,ion_channel,True
P35439,1,Grin1,"Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)",938,ion_channel,True
P22736,1,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3),598,nuclear_receptor,False
P22307,1,SCP2,Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X),547,other,False
P22004,1,BMP6,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1),513,other,False
P36639,1,NUDT1,"Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)",197,phosphatase,False
Q05941,1,Chrna7,Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7),502,ion_channel,True
Q16665,1,HIF1A,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),826,other,False
P21447,1,Abcb1a,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),1276,other,False
P20961,1,Serpine1,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),402,other,False
P20393,1,NR1D1,Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1),614,nuclear_receptor,False
P20288,1,DRD2,D(2) dopamine receptor (Dopamine D2 receptor),444,gpcr,False
Q05586,1,GRIN1,"Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1) (hNR1)",938,ion_channel,True
P20273,1,CD22,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),847,other,False
P20248,1,CCNA2,Cyclin-A2 (Cyclin-A) (Cyclin A),432,other,False
P19491,1,Gria2,"Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)",883,ion_channel,True
P19120,1,HSPA8,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8),650,other,False
P19020,1,Drd3,D(3) dopamine receptor (Dopamine D3 receptor),446,gpcr,False
Q5HIH6,1,glmU,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],450,other,False
P18901,1,Drd1,D(1A) dopamine receptor (Dopamine D1 receptor),446,gpcr,False
Q04917,1,YWHAH,14-3-3 protein eta (Protein AS1),246,other,False
Q60492,1,SIGMAR1,Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R) (Sterol isomerase-like protein),223,other,False
Q63495,1,Ager,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),402,other,False
Q63707,1,Dhodh,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",395,other,False
P17865,1,ftsZ,Cell division protein FtsZ,382,other,False
Q15369,1,ELOC,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),112,other,False
P24557,1,TBXAS1,Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),533,other,False
P25025,1,CXCR2,C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182),360,gpcr,False
P31424,1,Grm5,Metabotropic glutamate receptor 5 (mGluR5),1203,gpcr,False
P32238,1,CCKAR,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),428,gpcr,False
P31947,1,SFN,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),248,other,False
Q13185,1,CBX3,Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein),183,other,False
P31946,1,YWHAB,"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",246,kinase,False
Q13224,1,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)",1484,ion_channel,True
P31939,1,ATIC,"Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Cleaved into: Bifunctional purine biosynthesis protein ATIC, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (IMP synthase) (Inosinicase)]",592,other,False
Q13258,1,PTGDR,Prostaglandin D2 receptor (PGD receptor) (PGD2 receptor) (Prostanoid DP receptor),359,gpcr,False
Q13304,1,GPR17,Uracil nucleotide/cysteinyl leukotriene receptor (UDP/CysLT receptor) (G-protein coupled receptor 17) (P2Y-like receptor) (R12),367,gpcr,False
Q13322,1,GRB10,Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR),594,other,False
Q13363,1,CTBP1,C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-),440,other,False
Q13489,1,BIRC3,Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (Apoptosis inhibitor 2) (API2) (Cellular inhibitor of apoptosis 2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (hIAP-1) (hIAP1) (RING finger protein 49) (RING-type E3 ubiquitin transferase BIRC3) (TNFR2-TRAF-signaling complex protein 1),604,other,False
Q13490,1,BIRC2,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),618,other,False
P34896,1,SHMT1,"Serine hydroxymethyltransferase, cytosolic (SHMT) (cSHMT) (hcSHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (L-allo-threonine/L-threonine aldolase SHMT1) (Serine methylase)",483,other,False
P25090,1,FPR2,N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (ALX) (LXA4 receptor) (RFP),351,gpcr,False
P34969,1,HTR7,5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7),479,gpcr,False
P30536,1,TSPO,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR),169,other,False
P29350,1,PTPN6,Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1),595,phosphatase,False
P29276,1,Adora2b,Adenosine receptor A2b,332,gpcr,False
P28476,1,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABAAR subunit rho-2) (GABA(C) receptor),465,ion_channel,True
Q14397,1,GCKR,Glucokinase regulatory protein (GKRP) (Glucokinase regulator),625,other,False
P27348,1,YWHAQ,14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1),245,other,False
P35351,1,Agtr2,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor),363,gpcr,False
P26637,1,CDC60,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)",1090,other,False
P26006,1,ITGA3,Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain],1051,other,False
P25101,1,EDNRA,Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR),427,gpcr,False
P25099,1,Adora1,Adenosine receptor A1,326,gpcr,False
Q64737,1,Gart,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)],1010,other,False
P17658,1,KCNA6,Potassium voltage-gated channel subfamily A member 6 (Voltage-gated potassium channel HBK2) (Voltage-gated potassium channel subunit Kv1.6),529,ion_channel,True
P9WN95,1,ftsZ,Cell division protein FtsZ,379,other,False
P17181,1,IFNAR1,Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1),557,other,False
P0A2Y6,1,aroC,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),388,other,False
Q8TF76,1,HASPIN,Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase),798,kinase,False
P09651,1,HNRNPA1,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",372,other,False
P08913,1,ADRA2A,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),450,gpcr,False
P42229,1,STAT5A,Signal transducer and activator of transcription 5A,794,other,False
P42260,1,Grik2,"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6)",908,ion_channel,True
P08485,1,Chrm4,Muscarinic acetylcholine receptor M4,477,gpcr,False
P08253,1,MMP2,72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX],660,protease,False
P43220,1,GLP1R,Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R),463,gpcr,False
Q92952,1,KCNN1,Small conductance calcium-activated potassium channel protein 1 (SK1) (SKCa 1) (SKCa1) (hSK1) (KCa2.1),543,ion_channel,True
P9WPX7,1,aroQ,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase),147,other,False
Q96A54,1,ADIPOR1,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),375,other,False
P08191,1,fimH,Type 1 fimbrin D-mannose specific adhesin (Protein FimH),300,other,False
P08173,1,CHRM4,Muscarinic acetylcholine receptor M4,479,gpcr,False
P08104,1,Scn3a,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3),1951,ion_channel,True
Q96KQ7,1,EHMT2,Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a),1210,other,False
P45880,1,VDAC2,Non-selective voltage-gated ion channel VDAC2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2),294,other,False
P45973,1,CBX5,Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha),191,other,False
Q96RI1,1,NR1H4,Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14),486,nuclear_receptor,False
P07327,1,ADH1A,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),375,other,False
P46663,1,BDKRB1,B1 bradykinin receptor (B1R) (BK-1 receptor),353,gpcr,False
Q99418,1,CYTH2,"Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)",400,other,False
P07288,1,KLK3,Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase),261,protease,False
P9WPC9,1,clpC1,ATP-dependent Clp protease ATP-binding subunit ClpC1,848,protease,False
P9WNS3,1,dxs,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),638,other,False
P47712,1,PLA2G4A,Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)],749,other,False
P05412,1,JUN,Transcription factor Jun (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39),331,other,False
P0A6F1,1,carA,Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain),382,other,False
Q01062,1,Pde2a,"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)",928,other,False
P0A9A6,1,ftsZ,Cell division protein FtsZ,383,other,False
Q03135,1,CAV1,Caveolin-1,178,other,False
P16581,1,SELE,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),610,other,False
Q6Y7W6,1,GIGYF2,GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein),1299,other,False
Q03431,1,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),593,gpcr,False
P16083,1,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2),231,other,False
Q7Z2W7,1,TRPM8,Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8),1104,ion_channel,True
P15498,1,VAV1,Proto-oncogene vav,845,other,False
P15494,1,BETVIA,Major pollen allergen Bet v 1-A (Allergen Bet v I-A) (allergen Bet v 1-A),160,other,False
Q86V24,1,ADIPOR2,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),386,other,False
P15390,1,Scn4a,Sodium channel protein type 4 subunit alpha (Mu-1) (SkM1) (Sodium channel protein skeletal muscle subunit alpha) (Sodium channel protein type IV subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.4),1840,ion_channel,True
Q86X55,1,CARM1,Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4),608,other,False
Q03164,1,KMT2A,Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],3969,other,False
P14902,1,IDO1,"Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)",403,other,False
Q8IL04,1,HDP,Heme ligase (EC 4.99.1.8) (Heme detoxification protein) (PfHDP) (Hemozoin synthase),205,other,False
Q8R4D5,1,Trpm8,Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8),1104,ion_channel,True
P14779,1,cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase (Cytochrome P450(BM-3)) (Cytochrome P450BM-3) (Fatty acid monooxygenase) (Flavocytochrome P450 BM3) [Includes: Cytochrome P450 102A1 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)],1049,other,False
P14600,1,Tacr1,Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1),407,gpcr,False
P14210,1,HGF,Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain],728,protease,False
P14174,1,MIF,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),115,other,False
P11838,1,EAPA,Endothiapepsin (EC 3.4.23.22) (Aspartate protease),419,protease,False
P11086,1,PNMT,Phenylethanolamine N-methyltransferase (PNMTase) (EC 2.1.1.28) (Noradrenaline N-methyltransferase),282,other,False
Q8N8U2,1,CDYL2,Chromodomain Y-like protein 2 (CDY-like 2),506,other,False
P10636,1,MAPT,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau),758,other,False
Q01827,1,Slc18a2,Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2) (Vesicular monoamine transporter 2),515,other,False
Q01726,1,MC1R,Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R),317,gpcr,False
P10253,1,GAA,Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase],952,other,False
P0DPI0,1,botA,Botulinum neurotoxin type A (BoNT/A) (Bontoxilysin-A) (BOTOX) (Botulinum neurotoxin type A1) [Cleaved into: Botulinum neurotoxin A light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin A heavy chain (HC)],1296,protease,False
A3RGC1,1,VDR,"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)",427,nuclear_receptor,False
